"title","company","description","stipend","requirements","contact_method","label"
"Affiliate Marketing Trainee","ClickEarn Solutions","Great opportunity for students! Earn ₹50,000/month. Work is simple and can be done on mobile phone. Pay ₹999 to join. We have placed 10000+ students in top companies.","₹50,000/month","Must share ID proof for verification","Send DM on Instagram","1"
"Research Intern – NLP","Paytm","As a Research Intern – NLP at Paytm, you will work on building scalable solutions using MATLAB and TensorFlow. This is a 3-month program with mentorship from industry experts. Top performers may receive a pre-placement offer.","₹18,000/month","Currently pursuing B.Tech/B.E. in Design. Proficiency in MATLAB and TensorFlow. Good problem-solving skills.","Apply via Naukri.com","0"
"Guaranteed Placement Intern","InfoGain Services","Exciting opportunity to earn ₹80,000 per month from home! Just pay a one-time registration fee of ₹1,500 to get started. No experience or interview required. Start earning immediately after payment confirmation.","₹80,000/month","Must have UPI or bank account","WhatsApp only","1"
"Cloud Engineering Intern","IISc Bangalore","As a Cloud Engineering Intern, you will analyze business data using Flask and Docker, create dashboards, and present findings to the management team. This is a 2-month internship with exposure to real-world business problems.","₹16,000/month","Graduate or postgraduate in Electrical Engineering. Experience with Flask preferred. Ability to work in a team and meet deadlines.","LinkedIn application","0"
"Embedded Systems Intern","ISRO","We have an opening for a Embedded Systems Intern in our R&D division. You will work on cutting-edge brand strategy projects, conduct literature reviews, run experiments, and contribute to research publications. Strong background in Adobe XD and REST APIs required.","₹9,000/month","Engineering student with knowledge of Adobe XD, REST APIs. Available for full-time internship of 3-6 months.","LinkedIn application","0"
"Guaranteed Placement Intern","DreamJob Services","LIMITED TIME OFFER: Paid internship with ₹60,000/month stipend. This opportunity won't come again! Apply before midnight today. Fee ₹199 for processing. Act fast!","₹60,000/month","No experience needed","Telegram channel","1"
"Digital Marketing Intern – Earn ₹1 Lakh/Month","InfoGain Services","Become a digital marketing intern! Your job is to promote our products on social media and recruit more interns. Commission-based earning up to ₹50,000/month. No fixed salary but unlimited potential!","₹50,000/month","Ability to use WhatsApp","Telegram group","1"
"Graphic Design Intern","Paytm","Seeking a Graphic Design Intern for a 6-month internship. Responsibilities include developing features, writing unit tests, and documenting technical specifications. You will gain hands-on experience with Photoshop and AWS in a fast-paced environment.","₹15,000/month","Pursuing B.Tech/BCA/MCA in Mass Communication. Hands-on experience with Photoshop and AWS. Strong analytical thinking.","Apply on LinkedIn Jobs","0"
"Simple Form Filling Job","MoneyPlus Digital","Guaranteed placement after internship! Earn ₹30,000 per month during training. Pay ₹1,999 as course material fee. Certificate provided. Companies like Google and Amazon hire from our program.","₹30,000/month","Basic English knowledge","Call on personal mobile","1"
"Quick Money Online Intern","SkillBridge Academy","Great opportunity for students! Earn ₹100,000/month. Work is simple and can be done on mobile phone. Pay ₹5,000 to join. We have placed 10000+ students in top companies.","₹100,000/month","Must be willing to pay registration fee","WhatsApp only","1"
"Graphic Design Intern","Freshworks","We are looking for a motivated Graphic Design Intern to join our engineering team for a 3-month internship. You will work on microservices architecture projects, collaborate with senior engineers, and contribute to production codebases. Strong fundamentals in Git and GraphQL are expected.","₹9,000/month","B.Tech/M.Tech student in Computer Science with knowledge of Git, GraphQL, and GCP. CGPA 7.0 or above preferred.","Apply through campus placement cell","0"
